habitaciones,baños,parqueaderos,area_construida,area_privada,estrato,estado,antiguedad,administracion,precio_m2,Ascensor,Circuito cerrado de TV,Parqueadero Visitantes,Portería / Recepción,Zonas Verdes,Salón Comunal,Balcón,Barra estilo americano,Calentador,Chimenea,Citófono,Cocina Integral,Terraza,Vigilancia,Parques cercanos,Estudio,Patio,Depósito / Bodega,nombre,ubicacion,precio
3,2,1,64 m²,64 m²,4,No definida,16 a 30 años,$ 196.000 COP,$ 4.843.750*m²,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,Apartamento,Puerta de teja,310000000
4,4,3,245 m²,240 m²,5,Bueno,16 a 30 años,$ 450.000 COP,"$ 4.040.816,33*m²",0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,Casa,La Calleja,990000000
3,1,2,143 m²,135 m²,3,No definida,más de 30 años,No definida,"$ 3.845.454,55*m²",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,Casa,Engativá,549900000
4,3,1,114 m²,114 m²,4,Excelente,más de 30 años,$ 600.000 COP,"$ 4.122.807,02*m²",0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,Apartamento,Niza Cordoba,470000000
3,2,2,102 m²,98 m²,5,Remodelado,más de 30 años,$ 387.000 COP,"$ 3.725.490,2*m²",0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,Apartamento,Niza,380000000
4,4,4,207 m²,207 m²,6,Bueno,más de 30 años,$ 1.837.000 COP,"$ 9.661.835,75*m²",0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,Apartamento,chico,2000000000
3,3,1,150 m²,0 m²,6,No definida,más de 30 años,$ 690.000 COP,"$ 6.533.333,33*m²",1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,Apartamento,El Retiro,980000000
3,3,2,133 m²,124 m²,5,No definida,16 a 30 años,$ 530.000 COP,"$ 5.451.127,82*m²",1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,Apartamento,Colina Campestre,725000000
3,5,4,192 m²,192 m²,5,Bueno,16 a 30 años,$ 1.650.000 COP,"$ 4.635.416,67*m²",1,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,Apartamento,Santa barbara,890000000
3,4,2,134 m²,107 m²,5,Excelente,9 a 15 años,$ 570.000 COP,"$ 5.343.283,58*m²",1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,Apartamento,Colina Campestre,716000000
4,6,4,342 m²,252 m²,6,Excelente,16 a 30 años,No definida,"$ 4.941.520,47*m²",1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,Apartamento,Unicentro Bogotá,1690000000
3,3,2,116 m²,102 m²,4,No definida,16 a 30 años,$ 600.000 COP,"$ 5.431.034,48*m²",1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,Apartamento,Bella Suiza,630000000
3,2,1,69 m²,0 m²,4,No definida,16 a 30 años,$ 315.000 COP,"$ 6.202.898,55*m²",1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,Apartamento,Ciudad salitre,428000000
3,2,1,58 m²,51 m²,4,No definida,No definida,$ 220.000 COP,"$ 5.172.413,79*m²",1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,Apartamento,Cantalejo,300000000
2,2,1,75 m²,75 m²,6,Bueno,más de 30 años,$ 564.000 COP,"$ 7.866.666,67*m²",1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,Apartamento,El Virrey,590000000
3,3,2,145 m²,145 m²,6,Bueno,16 a 30 años,$ 1.000.000 COP,"$ 6.758.620,69*m²",1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,Apartamento,Chicó,980000000
1,2,1,60 m²,50 m²,5,Excelente,1 a 8 años,$ 315.000 COP,$ 7.000.000*m²,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,Apartamento,Bosque de pinos,420000000
3,2,1,60 m²,"59,7 m²",3,Excelente,9 a 15 años,$ 165.000 COP,"$ 3.833.333,33*m²",1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,Apartamento,Nuevo Techo,230000000
3,3,2,178 m²,178 m²,6,Bueno,más de 30 años,$ 1.256.000 COP,"$ 6.460.674,16*m²",1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,Apartamento,Chicó Norte,1150000000
4,4,3,284 m²,284 m²,6,Bueno,16 a 30 años,$ 1.600.000 COP,"$ 6.866.197,18*m²",1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,Apartamento,La Carolina,1950000000
3,2,1,85 m²,85 m²,5,Bueno,9 a 15 años,$ 515.000 COP,"$ 8.823.529,41*m²",1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,Apartamento,Ciudad Salitre,750000000
3,2,1,70 m²,70 m²,4,Bueno,1 a 8 años,$ 260.000 COP,"$ 6.285.714,29*m²",1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,Apartamento,Cantalejo,440000000
3,4,3,222 m²,202 m²,6,No definida,9 a 15 años,$ 1.300.000 COP,"$ 6.081.081,08*m²",1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,Apartamento,Colina Campestre,1350000000
4,3,2,94 m²,116 m²,4,Excelente,16 a 30 años,$ 480.000 COP,"$ 4.202.127,66*m²",0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,Casa,Santa helena,395000000
2,2,1,60 m²,60 m²,4,No definida,16 a 30 años,$ 550.000 COP,$ 5.750.000*m²,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,Apartamento,Cedritos,345000000
3,4,3,186 m²,168 m²,5,No definida,16 a 30 años,$ 1.100.000 COP,"$ 6.881.720,43*m²",1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,Apartamento,Centro Comercial Palatino,1280000000
8,6,3,350 m²,253 m²,4,Bueno,16 a 30 años,No definida,"$ 3.854.285,71*m²",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,Casa,Quinta camacho,1349000000
4,3,4,145 m²,112 m²,4,No definida,9 a 15 años,No definida,"$ 5.551.724,14*m²",0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,Casa,Modelia,805000000
3,3,3,"100,2 m²",0 m²,5,No definida,16 a 30 años,$ 550.000 COP,"$ 5.688.622,75*m²",1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Apartamento,Calleja Baja,570000000
4,4,1,"116,49 m²","119,74 m²",4,No definida,más de 30 años,$ 229.000 COP,"$ 4.120.525,37*m²",0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,Apartamento,Polo club,480000000
4,3,2,100 m²,100 m²,4,No definida,9 a 15 años,$ 500.000 COP,$ 6.690.000*m²,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,Apartamento,Ciudad salitre,669000000
3,2,2,64 m²,64 m²,4,No definida,9 a 15 años,$ 300.000 COP,$ 6.093.750*m²,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,Apartamento,Portales del norte,390000000
3,2,1,"83,58 m²","78,28 m²",4,No definida,más de 30 años,$ 500.000 COP,"$ 5.144.771,48*m²",0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,Apartamento,Cedritos,430000000
3,5,3,318 m²,298 m²,6,Excelente,16 a 30 años,$ 2.045.000 COP,"$ 7.704.402,52*m²",1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,Apartamento,Bosque de pinos,2450000000
2,2,2,96 m²,96 m²,6,Excelente,16 a 30 años,$ 600.000 COP,$ 6.406.250*m²,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,Apartamento,Los Rosales,615000000
