habitaciones;ba�os;parqueaderos;area_construida;area_privada;estrato;estado;antiguedad;administracion;precio_m2;Ascensor;Circuito cerrado de TV;Parqueadero Visitantes;porteria_recepcion;Zonas Verdes;salon comunal;balcon;Barra estilo americano;Calentador;Chimenea;citofono;Cocina Integral;Terraza;Vigilancia;parques;Estudio;Patio;deposito;nombre;ubicacion;precio
3;2;0;50;50;3;No definida;9 a 15 años;96000;3000000;0;1;1;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;Apartamento;Tibabita;150000000
3;2;1;54;0;3;No definida;16 a 30 años;217000;4444444,44;0;0;1;1;0;1;0;0;1;0;1;0;1;0;0;0;0;0;Apartamento;Las ferias;240000000
3;3;2;93;93;5;No definida;más de 30 años;606000;5698924,73;1;1;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;Apartamento;Suba;530000000
2;2;2;83;83;5;No definida;más de 30 años;630000;6385542,17;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;Apartamento;Bogotá;530000000
5;3;1;216;205;2;No definida;16 a 30 años;1;1759259,26;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;Casa;Alqueria;380000000
2;3;1;80;80;5;Excelente;1 a 8 años;515000;6750000;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;Apartamento;Nueva Autopista;540000000
3;2;1;77;77;4;Bueno;16 a 30 años;331000;4909090,91;1;1;1;1;0;0;1;1;1;0;1;1;0;0;0;0;0;0;Apartamento;Colina Campestre;378000000
4;4;2;215;215;4;Excelente;más de 30 años;No definida;2720930,23;0;0;0;0;1;0;0;0;1;1;0;1;0;0;1;1;1;0;Casa;Villa Del Prado;585000000
2;1;0;36;34;2;Bueno;9 a 15 años;62000;3570637,12;0;1;0;1;1;0;0;0;0;0;1;0;0;1;1;0;0;0;Apartamento;Campanella;128900000
3;2;1;69;0;4;No definida;9 a 15 años;200000;5072463,77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Ferrocaja fontibon;350000000
4;4;3;212;210;5;No definida;más de 30 años;No definida;3867924,53;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;Casa;El Batán;820000000
3;2;1;93;93;5;No definida;16 a 30 años;427400;5161290,32;1;1;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;0;Apartamento;El contador;480000000
3;3;0;108;106;2;No definida;16 a 30 años;No definida;2175925,93;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;Casa;Suba;235000000
3;4;2;151;151;5;No definida;16 a 30 años;556000;7615894,04;1;1;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;Apartamento;CIUDAD SALITRE NORORIENTAL;1150000000
3;3;2;120;100;4;Bueno;16 a 30 años;190000;4708333,33;0;0;1;0;1;0;0;0;1;0;0;1;0;1;0;0;0;1;Casa;Villa Del Prado;565000000
3;1;1;55;0;3;No definida;16 a 30 años;40000;3211009,17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Nueva Roma;175000000
3;3;2;101;101;5;No definida;menor a 1 año;No definida;8415841,58;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;Apartamento;Nicolas de Federman;850000000
3;2;1;78;70;4;No definida;1 a 8 años;377000;4151762,9;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;Apartamento;El dorado;325000000
4;4;2;188;188;5;Bueno;9 a 15 años;No definida;5212765,96;0;1;1;0;1;1;0;0;1;0;0;0;1;0;0;0;0;1;Casa;Camino de Arrayanes;980000000
4;3;2;230;0;5;No definida;No definida;160000;4260869,57;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;1;Casa;Andes norte;980000000
2;2;1;59;59;5;No definida;No definida;No definida;4745762,71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Mazurén;280000000
4;4;2;186;186;4;No definida;más de 30 años;No definida;4032258,06;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;Casa;Rincon del cedro;750000000
3;2;1;77;77;4;Bueno;16 a 30 años;331000;4909090,91;1;1;1;1;0;0;1;1;1;0;1;1;0;0;0;0;0;0;Apartamento;Colina Campestre;378000000
3;2;1;60;0;4;Bueno;16 a 30 años;250000;4250000;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;Apartamento;Estrella Norte;255000000
3;2;1;65;0;4;Excelente;No definida;No definida;5230769,23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Pontevedra;340000000
3;3;2;79;78;5;No definida;16 a 30 años;545000;5316455,7;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;Apartamento;Batan;420000000
3;3;2;109;0;4;No definida;1 a 8 años;500000;5412844,04;1;0;1;1;0;1;1;1;0;0;1;0;1;0;0;0;0;0;Apartamento;Cedritos;590000000
2;2;2;83;83;5;No definida;más de 30 años;630000;6385542,17;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;Apartamento;Bogotá;530000000
4;3;2;157;150;4;Excelente;16 a 30 años;469000;4203821,66;0;1;1;0;0;0;1;0;1;1;1;0;0;1;0;0;0;0;Casa;Cedritos;660000000
3;4;2;151;151;5;No definida;16 a 30 años;556000;7615894,04;1;1;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;Apartamento;CIUDAD SALITRE NORORIENTAL;1150000000
3;3;2;116;116;6;Excelente;1 a 8 años;810000;7025862,07;1;1;1;1;0;0;1;1;0;0;1;1;0;1;0;0;0;0;Apartamento;Santa bibiana;815000000
4;4;3;223;223;6;Bueno;16 a 30 años;956000;5605381,17;0;0;1;0;0;1;1;0;1;1;1;1;0;0;0;0;0;0;Casa;Altos de Suba;1250000000
3;2;1;55;0;3;No definida;16 a 30 años;107000;4090909,09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Apartamento;Nueva villemar;225000000
2;1;0;46;46;3;Excelente;1 a 8 años;145000;4239130,43;1;1;1;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;Apartamento;Tibabita;195000000
3;3;0;69;0;2;No definida;16 a 30 años;81000;3207932,34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Casa;Salitre et. i;220000000
4;2;0;210;210;3;Bueno;16 a 30 años;No definida;1261904,76;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;Casa;Kennedy Central;265000000
4;2;0;84;81;3;No definida;9 a 15 años;185400;4642857,14;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;1;1;Apartamento;El palmar;390000000
1;2;1;68;68;4;Excelente;1 a 8 años;287000;7323529,43;1;1;1;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;Apartamento;Samper;498000001
3;3;2;200;176;6;Bueno;más de 30 años;1056000;5000000;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;Apartamento;Santa Bibiana;1000000000
2;3;3;140;140;6;No definida;9 a 15 años;900000;7714285,71;0;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;Apartamento;Santa Bárbara Alta;1080000000
3;3;2;93;93;5;No definida;más de 30 años;606000;5698924,73;1;1;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;Apartamento;Suba;530000000
3;2;1;74;74;4;Bueno;16 a 30 años;200000;4527027,03;0;1;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1;Casa;Colina Campestre;335000000
4;4;4;297;297;6;No definida;más de 30 años;1100000;6397306,4;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;1;1;0;Casa;La calleja;1900000000
3;2;1;77;0;4;No definida;No definida;No definida;5454545,45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Mazuren;420000000
3;1;0;71;71;3;Bueno;16 a 30 años;111000;3732394,37;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;Casa;Madelena;265000000
3;2;1;67;63;4;No definida;16 a 30 años;295000;7388059,7;0;0;1;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;Apartamento;Salitre Oriental;495000000
3;2;0;43;43;2;No definida;1 a 8 años;77000;2558139,53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Nueva Espana;110000000
3;2;1;64;62;4;No definida;más de 30 años;160000;4204297,73;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;1;1;Apartamento;Cedro salazar;270000000
2;2;1;80;80;4;Excelente;más de 30 años;411000;5250000;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;La salle;420000000
1;1;1;50;48;5;No definida;1 a 8 años;361000;8000000;1;1;1;1;0;0;0;1;1;0;1;1;0;1;0;0;0;0;Apartamento;El contador;400000000
4;3;1;105;105;4;No definida;16 a 30 años;235000;3428571,43;0;1;1;1;0;1;1;0;1;0;1;0;0;0;0;0;0;0;Casa;Usaquén;360000000
6;4;1;155;155;2;Bueno;9 a 15 años;No definida;2516129,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Casa;Fontanar del río;390000000
3;2;0;50;46;2;No definida;menor a 1 año;119000;3400000;1;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;Apartamento;Granjas san pablo;170000000
3;3;2;167;167;6;No definida;más de 30 años;663000;3892215,57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Santa Bárbara;650000000
5;3;1;216;205;2;No definida;16 a 30 años;1;1759259,26;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;Casa;Alqueria;380000000
2;2;2;89;84;5;No definida;9 a 15 años;No definida;6629213,48;1;0;0;1;0;0;1;1;1;0;1;1;0;0;0;1;0;0;Apartamento;Bella Suiza;590000000
4;1;0;54;51;3;Excelente;9 a 15 años;115000;3037037,04;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;Casa;Lijacá;164000000
1;2;1;58;58;4;Excelente;1 a 8 años;245000;6379310,34;1;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;Apartamento;Cedritos;370000000
3;2;1;76;0;3;Excelente;9 a 15 años;245000;4184210,53;1;0;1;1;0;1;1;0;1;0;1;1;0;0;0;0;0;0;Apartamento;Britalia Norte;318000000
2;2;1;60;0;4;No definida;No definida;297000;6847027,39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Paramo;410000000
5;4;3;180;116;5;Excelente;16 a 30 años;820000;5277777,78;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;Apartamento;Puente Largo;950000000
2;1;0;36;34;2;Bueno;9 a 15 años;62000;3570637,12;0;1;0;1;1;0;0;0;0;0;1;0;0;1;1;0;0;0;Apartamento;Campanella;128900000
4;3;2;215;195;3;Bueno;más de 30 años;No definida;2093023,26;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;1;Casa;Bellavista Occidental;450000000
3;2;1;69;0;4;No definida;9 a 15 años;200000;5072463,77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Ferrocaja fontibon;350000000
3;3;2;144;0;3;Bueno;más de 30 años;No definida;4930555,56;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;1;0;0;Casa;Mandalay;710000000
3;2;0;54;54;3;Bueno;16 a 30 años;125000;4259259,26;0;0;0;1;0;1;0;0;0;0;1;1;0;1;0;0;0;1;Apartamento;Zona Occidente;230000000
3;4;4;275;250;6;No definida;9 a 15 años;No definida;8000000;1;1;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;Apartamento;Vereda suba naranjos;2200000000
3;2;1;63;63;3;No definida;16 a 30 años;294000;4920634,92;0;1;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;Apartamento;Ciudad Jardin Norte;310000000
2;2;2;84;84;6;Bueno;16 a 30 años;295000;7023809,52;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;1;0;1;Apartamento;Santa Bárbara Central;590000000
1;1;1;40;0;4;No definida;16 a 30 años;40000;4962500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Los cedros oriental;198500000
3;4;2;167;267;6;No definida;16 a 30 años;1060000;6526946,11;1;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;Casa;Bosque de Pinos;1090000000
3;3;3;153;153;5;Excelente;16 a 30 años;850000;5228758,17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Santa Bárbara Occidental;800000000
3;4;0;146;146;4;No definida;más de 30 años;No definida;4383561,64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Casa;Palermo;640000000
2;1;0;31;0;3;No definida;No definida;No definida;4677419,35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Calvo Sur;145000000
3;2;1;54;54;3;Bueno;9 a 15 años;175000;4629629,63;0;1;0;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;Apartamento;Alamos;250000000
3;2;1;87;83;4;No definida;16 a 30 años;440000;4498269,9;1;1;1;1;0;1;0;0;1;1;1;1;0;1;0;0;0;0;Apartamento;Caobos salazar;390000000
4;2;4;132;0;3;Remodelado;más de 30 años;No definida;4165909,09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;Casa;Castilla;549900000
2;2;2;71;0;4;No definida;1 a 8 años;660000;8476244,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Bosque calderon;603000000
1;1;1;33;31;4;No definida;16 a 30 años;294000;6586826,35;1;0;1;1;0;1;0;0;0;0;1;0;0;1;0;0;0;1;Apartamento;Sucre;220000000
4;4;2;441;441;5;No definida;más de 30 años;No definida;2879818,59;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;Casa;Niza;1270000000
3;3;0;108;106;2;No definida;16 a 30 años;No definida;2175925,93;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;Casa;Suba;235000000
2;3;1;67;59;4;No definida;menor a 1 año;394000;8208955,22;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Apartamento;Chapinero Alto;550000000
4;2;1;72;0;3;Bueno;9 a 15 años;160000;3472222,22;0;1;1;0;0;1;1;0;1;1;1;1;0;1;0;0;0;0;Casa;La Campiña;250000000
3;3;2;135;135;4;Bueno;16 a 30 años;No definida;3555555,56;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;1;Casa;Cedritos;480000000
3;2;1;95;84;4;No definida;9 a 15 años;320000;5000000;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;Apartamento;Santa helena;475000000
2;1;0;40;40;3;Bueno;1 a 8 años;102000;4300000;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;Apartamento;Villa del Río;172000000
3;2;1;78;75;3;Excelente;1 a 8 años;230000;4615384,62;1;0;1;1;0;1;1;0;1;0;1;1;0;0;0;0;0;1;Apartamento;Pinos de Lombardia;360000000
2;3;1;80;80;5;Excelente;1 a 8 años;515000;6750000;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;Apartamento;Nueva Autopista;540000000
2;4;2;109;98;5;Excelente;16 a 30 años;471500;5183486,24;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;Apartamento;Recodo Del Country;565000000
3;3;1;93;0;6;Bueno;16 a 30 años;320000;4962243,8;1;1;0;0;0;0;0;1;1;0;1;1;0;0;0;1;0;0;Apartamento;Cedritos;460000000
3;2;1;81;81;5;Bueno;1 a 8 años;238000;6790123,46;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Apartamento;Colina Campestre;550000000
3;1;0;56;0;4;No definida;No definida;250000;4285714,29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;El plan;240000000
3;1;0;94;94;2;No definida;16 a 30 años;No definida;2446808,51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Casa;Tibabuyes;230000000
4;4;0;126;126;4;No definida;más de 30 años;269000;6190476,19;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;Casa;Los Andes;780000000
1;2;1;47;41;6;No definida;menor a 1 año;260000;11914893,62;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;Apartamento;Chico norte;560000000
3;2;1;68;0;3;Bueno;16 a 30 años;210000;3676470,59;0;0;1;1;0;1;0;0;1;0;1;1;0;1;0;0;0;1;Apartamento;Las flores;250000000
6;3;2;144;115;4;No definida;16 a 30 años;380000;4166666,67;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;Casa;Capellania;600000000
3;4;2;176;164;6;Excelente;16 a 30 años;870000;5568181,82;1;1;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;Apartamento;Santa Bárbara;980000000
3;2;1;84;84;4;No definida;9 a 15 años;230000;5000000;1;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;Apartamento;El plan;420000000
3;3;2;134;134;6;Excelente;16 a 30 años;650000;5895522,39;1;1;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;Apartamento;Chicó Alto;790000000
3;3;2;120;101;4;No definida;1 a 8 años;No definida;8750000;1;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;Apartamento;La Felicidad;1050000000
3;2;1;82;75;4;No definida;9 a 15 años;256000;5792682,93;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;Apartamento;Nuevo Monterrey;475000000
3;2;2;90;0;4;Excelente;9 a 15 años;380000;4888888,89;1;1;1;0;0;0;1;0;1;0;1;1;0;0;0;0;0;1;Apartamento;Portales Del Norte;440000000
2;1;0;47;42;3;No definida;1 a 8 años;145000;4042553,19;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;Apartamento;Tibabita;190000000
3;2;1;61;58;3;Excelente;menor a 1 año;No definida;4590163,93;1;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;0;0;Apartamento;La Granja;280000000
3;1;0;54;0;3;No definida;menor a 1 año;No definida;3703703,7;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;Apartamento;Villas del madrigal;200000000
1;2;1;40;40;4;No definida;9 a 15 años;186300;7000000;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;Apartamento;Cedritos;280000000
3;1;0;45;45;2;No definida;16 a 30 años;57000;2555555,56;0;0;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;Casa;El chilcal;115000000
1;2;2;61;57;6;Bueno;9 a 15 años;688600;7540983,61;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0;1;0;1;Apartamento;CHICO NORTE;460000000
1;2;1;58;58;4;Excelente;1 a 8 años;245000;6379310,34;1;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;Apartamento;Cedritos;370000000
2;2;1;80;80;4;Excelente;más de 30 años;411000;5250000;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;La salle;420000000
4;4;5;325;325;5;No definida;más de 30 años;No definida;3692307,69;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;1;1;Casa;Niza;1200000000
2;2;2;78;0;6;No definida;1 a 8 años;650000;8333333,33;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;Apartamento;Santa Bárbara Central;650000000
2;2;1;50;50;3;No definida;9 a 15 años;143000;5300000;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;Apartamento;La Fraguita;265000000
1;2;1;70;75;6;Excelente;16 a 30 años;630000;7428571,43;1;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;Apartamento;Santa Bárbara Central;520000000
4;5;3;231;225;6;Excelente;16 a 30 años;1205000;6926406,93;1;1;1;1;0;1;0;0;1;1;1;1;0;1;0;0;0;1;Apartamento;Ingemar oriental i;1600000000
2;1;0;38;33;3;No definida;menor a 1 año;133000;5131578,95;1;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;Apartamento;Tibana;195000000
2;2;2;103;103;6;Bueno;1 a 8 años;1100000;9223300,97;1;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;Apartamento;Los Rosales;950000000
3;2;1;52;46;4;Excelente;1 a 8 años;164000;6346153,85;1;1;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;Apartamento;Jose joaquin vargas;330000000
3;3;2;116;116;6;Excelente;1 a 8 años;810000;7025862,07;1;1;1;1;0;0;1;1;0;0;1;1;0;1;0;0;0;0;Apartamento;Santa bibiana;815000000
2;3;1;68;68;3;No definida;16 a 30 años;170000;4044117,65;0;1;1;1;0;1;0;0;1;0;1;0;0;1;0;0;0;0;Casa;Britalia;275000000
4;2;0;74;0;2;Excelente;9 a 15 años;103000;2702702,7;0;1;1;0;0;1;0;0;0;0;1;1;0;1;0;1;0;0;Casa;Suba Compartir;200000000
4;3;2;196;0;4;Bueno;No definida;100000;4030612,24;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;1;Casa;Modelia;790000000
2;2;0;49;49;3;Excelente;16 a 30 años;No definida;4591836,73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Apartamento;Galerias;225000000
3;2;0;54;54;3;Bueno;16 a 30 años;125000;4259259,26;0;0;0;1;0;1;0;0;0;0;1;1;0;1;0;0;0;1;Apartamento;Zona Occidente;230000000
3;2;1;77;0;4;No definida;No definida;No definida;5454545,45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Mazuren;420000000
1;2;1;68;68;4;Excelente;1 a 8 años;287000;7323529,43;1;1;1;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;Apartamento;Samper;498000001
3;4;2;167;267;6;No definida;16 a 30 años;1060000;6526946,11;1;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;Casa;Bosque de Pinos;1090000000
4;4;3;223;223;6;Bueno;16 a 30 años;956000;5605381,17;0;0;1;0;0;1;1;0;1;1;1;1;0;0;0;0;0;0;Casa;Altos de Suba;1250000000
2;1;0;72;0;2;Excelente;9 a 15 años;No definida;1736111,11;0;0;0;0;1;1;0;0;0;0;0;1;0;1;1;0;0;0;Casa;Tierra Buena;125000000
3;2;1;71;71;3;Bueno;1 a 8 años;235000;7323943,66;1;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;Apartamento;Alcazares;520000000
3;3;2;112;112;5;No definida;16 a 30 años;799000;5803571,43;0;0;1;1;0;1;0;1;0;1;1;0;0;1;0;0;0;0;Apartamento;Chicó Norte;650000000
1;1;0;34;34;4;Bueno;16 a 30 años;185000;6470588,24;1;0;1;1;0;1;0;1;1;0;1;1;0;1;0;0;0;0;Apartamento;Marly;220000000
2;2;1;63;55;4;No definida;1 a 8 años;273000;6984126,98;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;Apartamento;El plan;440000000
3;2;1;108;108;4;No definida;16 a 30 años;455000;4814814,81;1;1;1;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;Apartamento;Colina Campestre;520000000
2;1;0;45;39;3;No definida;menor a 1 año;116000;4111111,11;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;Apartamento;Ciudad hunza;185000000
3;3;2;118;0;6;Excelente;16 a 30 años;750000;7372881,36;1;1;0;1;0;1;0;1;1;1;1;1;0;1;0;0;0;0;Apartamento;Multicentro;870000000
3;2;1;78;78;3;No definida;1 a 8 años;310000;5769230,77;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;Apartamento;Paloblanco;450000000
5;4;3;580;580;4;No definida;más de 30 años;No definida;2068965,52;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;Casa;Pontevedra;1200000000
4;4;4;280;280;3;Excelente;más de 30 años;No definida;1428214,29;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;Casa;Estrella;399900000
2;3;1;74;74;4;Excelente;1 a 8 años;338000;6773449,17;1;1;1;1;0;1;1;1;1;0;1;1;0;0;0;0;0;0;Apartamento;Cedritos;499000000
3;1;1;73;0;3;Bueno;más de 30 años;No definida;4643835,62;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;Apartamento;Pio xii;339000000
3;3;2;259;259;5;Excelente;16 a 30 años;1030000;4633204,63;0;1;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;Apartamento;Bella Suiza;1200000000
3;2;0;53;47;3;No definida;9 a 15 años;125000;3207547,17;0;0;1;1;1;1;0;0;1;0;0;0;0;1;0;1;0;0;Apartamento;Ub. industrial las delicias;170000000
3;4;2;248;235;5;Excelente;9 a 15 años;729000;3608870,97;0;0;1;0;1;1;1;0;1;1;1;1;0;1;0;0;0;0;Casa;Gratamira;895000000
3;2;1;80;82;3;Bueno;9 a 15 años;No definida;4750000;1;1;0;1;0;0;1;0;1;0;1;1;0;0;0;1;0;1;Apartamento;Centro americas;380000000
3;3;2;94;90;4;No definida;1 a 8 años;430000;6063829,79;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;Apartamento;Cedritos;570000000
3;2;1;68;63;3;No definida;9 a 15 años;286000;5588235,29;1;0;1;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;Apartamento;Lusitania;380000000
2;3;2;149;149;6;Bueno;1 a 8 años;1600000;11208053,69;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;Apartamento;Los Rosales;1670000000
6;4;0;250;250;3;No definida;más de 30 años;No definida;3040000;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Casa;Santa Rita;760000000
3;2;1;98;0;3;Excelente;16 a 30 años;160000;3724489,8;0;1;0;0;1;1;0;0;1;0;1;1;0;0;0;0;0;0;Casa;El Cortijo;365000000
2;3;3;224;224;6;Bueno;más de 30 años;No definida;4687500;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;Casa;Guaymaral;1050000000
3;1;0;63;57;3;Excelente;16 a 30 años;123000;3484126,98;0;1;1;1;1;0;0;1;0;0;0;1;0;1;0;0;0;0;Apartamento;Ub. el cortijo;219500000
1;2;2;50;50;6;Bueno;9 a 15 años;620000;8400000;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;Apartamento;San Patricio;420000000
3;3;1;88;120;4;No definida;más de 30 años;350000;6818181,82;0;0;0;0;0;1;0;0;1;1;1;1;0;1;0;0;0;0;Casa;Cedritos;600000000
3;2;1;61;0;3;Excelente;1 a 8 años;190000;4672131,15;1;1;1;0;0;0;1;1;1;0;1;1;0;0;0;0;0;0;Apartamento;Castilla;285000000
4;4;4;143;143;4;Excelente;No definida;600000;5594405,59;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;Apartamento;Cedritos;800000000
3;3;2;108;99;4;Excelente;9 a 15 años;515000;4814814,81;1;1;1;1;0;1;1;0;1;1;1;1;0;0;0;0;0;0;Apartamento;Cedritos;520000000
4;2;1;186;186;4;Remodelado;más de 30 años;No definida;6989247,31;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;Casa;La Macarena;1300000000
3;5;0;268;0;3;No definida;más de 30 años;No definida;2608208,96;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;1;1;Casa;Quesada;699000000
