habitaciones;ba�os;parqueaderos;area_construida;area_privada;estrato;estado;antiguedad;administracion;precio_m2;Ascensor;Circuito cerrado de TV;Parqueadero Visitantes;porteria_recepcion;Zonas Verdes;salon comunal;balcon;Barra estilo americano;Calentador;Chimenea;citofono;Cocina Integral;Terraza;Vigilancia;parques;Estudio;Patio;deposito;nombre;ubicacion;precio
6;4;3;218;0;4;Bueno;más de 30 años;No definida;3027522,94;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;Casa;Normandía;660000000
1;2;1;50;0;5;Bueno;9 a 15 años;310000;6800000;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;Apartamento;Contador;340000000
3;3;1;140;140;4;Bueno;más de 30 años;460000;5071428,57;0;1;0;1;0;1;0;0;1;1;1;1;1;1;0;1;0;0;Apartamento;Quinta Paredes;710000000
4;3;1;90;0;4;Bueno;más de 30 años;369000;4000000;1;0;1;1;0;1;0;0;1;1;1;1;1;0;0;0;0;1;Apartamento;Cedro Golf;360000000
2;3;2;111;111;6;Bueno;9 a 15 años;786000;11261261,26;1;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;Apartamento;La Cabrera;1250000000
12;5;0;375;320;3;Bueno;16 a 30 años;No definida;1493333,33;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;Casa;Los Cerezos;560000000
2;3;2;111;73;4;No definida;16 a 30 años;483000;3423423,42;1;0;1;1;0;1;0;0;1;1;1;0;0;1;0;0;0;0;Apartamento;Cedro Golf;380000000
4;4;2;307;307;3;No definida;más de 30 años;No definida;2931596,09;0;1;1;0;1;0;1;1;0;0;0;0;1;1;0;1;0;0;Casa;Provivienda norte;900000000
3;2;0;61;0;3;No definida;16 a 30 años;130000;2622950,82;0;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;Apartamento;Suba Salitre;160000000
2;3;4;322;277;6;No definida;1 a 8 años;2304000;9000000;1;1;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;Apartamento;Los Rosales;2898000000
5;5;4;280;280;6;No definida;16 a 30 años;2200000;7142857,14;0;1;1;1;1;0;0;0;1;1;1;0;0;1;0;0;0;0;Apartamento;La carolina;2000000000
3;2;1;59;54;4;Bueno;16 a 30 años;150000;4220338,98;0;1;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;Apartamento;Colina Campestre;249000000
3;3;2;146;133;5;Excelente;16 a 30 años;660000;5410958,9;1;1;0;1;1;0;1;0;1;0;1;1;0;1;0;0;0;1;Apartamento;Santa Ana Occidental;790000000
2;2;1;75;75;4;Excelente;16 a 30 años;316000;4200000;0;0;1;1;0;1;0;0;1;1;1;1;0;1;0;0;0;0;Apartamento;Mazurén;315000000
2;2;2;56;0;4;Excelente;1 a 8 años;266200;6428571,43;1;1;1;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;Apartamento;Cedritos;360000000
3;2;2;87;0;5;No definida;1 a 8 años;390000;5965517,24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Colina Campestre;519000000
3;2;1;59;59;3;Excelente;menor a 1 año;80000;4830508,47;0;0;0;1;0;1;0;1;0;0;1;1;1;0;0;0;0;0;Apartamento;La granja;285000000
2;1;1;55;88;4;No definida;16 a 30 años;159000;5436363,64;0;0;1;0;0;0;1;1;1;1;1;0;1;1;0;0;0;0;Apartamento;Belmira;299000000
3;3;1;112;112;4;Excelente;más de 30 años;638000;4017857,14;1;0;1;1;0;0;0;0;1;0;1;1;0;1;0;1;0;0;Apartamento;Puente Largo;450000000
3;2;1;100;100;5;Bueno;16 a 30 años;440000;5000000;1;1;0;0;0;0;1;0;1;0;1;1;0;0;0;1;0;1;Apartamento;Colina Campestre;500000000
1;2;1;72;72;5;No definida;más de 30 años;140000;5541666,67;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;Casa;La Calleja;399000000
4;3;1;102;102;5;Bueno;más de 30 años;620000;5098039,22;1;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;Apartamento;Alhambra;520000000
3;2;1;80;72;5;Excelente;1 a 8 años;357000;6489454,64;1;1;1;0;0;0;1;1;1;0;1;1;0;0;0;0;0;1;Apartamento;Colina Campestre;520000000
2;1;0;52;52;3;No definida;16 a 30 años;70000;4134615,38;0;0;1;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;Apartamento;Galerias;215000000
3;2;2;136;136;6;No definida;16 a 30 años;933000;5882352,94;1;0;1;1;0;1;1;0;1;0;0;1;0;0;0;0;0;0;Apartamento;San Patricio;800000000
2;2;1;74;73;4;Excelente;16 a 30 años;266000;4011422,36;0;1;1;1;0;1;0;0;1;0;1;1;0;0;0;1;0;0;Apartamento;El redil;295000000
3;5;6;390;800;5;Excelente;1 a 8 años;1050000;6410256,41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Casa;San José de Bavaria;2500000000
2;2;1;93;93;5;Excelente;9 a 15 años;450000;5913978,49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Cedritos;550000000
3;2;3;210;210;6;Bueno;16 a 30 años;1264000;3714285,71;1;1;0;0;1;0;0;0;1;1;1;0;1;0;0;0;0;0;Apartamento;Chicó Navarra;780000000
3;2;0;78;78;3;Excelente;9 a 15 años;130000;3012820,51;0;1;1;1;0;1;0;0;1;0;1;1;0;1;0;1;0;0;Apartamento;Suba Compartir;235000000
9;6;1;418;0;3;Bueno;más de 30 años;No definida;2153110,05;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;Casa;La española;900000000
3;3;2;116;116;5;Excelente;1 a 8 años;990000;6293103,45;1;1;1;1;0;1;1;1;1;0;1;0;0;0;0;0;0;1;Apartamento;Santa Paula;730000000
5;4;2;460;250;4;No definida;más de 30 años;No definida;2173913,04;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;Casa;Normandía;1000000000
4;3;1;130;130;3;Excelente;menor a 1 año;No definida;2692307,69;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;1;Casa;Zona Noroccidente;350000000
2;2;2;66;66;6;Bueno;1 a 8 años;700000;9393939,39;1;0;1;1;0;0;0;0;1;1;1;1;0;1;0;0;0;1;Apartamento;Santa Bárbara;620000000
3;2;2;103;0;4;Excelente;menor a 1 año;370000;6019417,48;1;1;1;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;Apartamento;Santa teresa;620000000
3;2;1;82;72;5;Excelente;más de 30 años;549000;5853658,54;1;1;0;1;0;1;0;1;1;0;0;1;0;1;0;0;0;1;Apartamento;Bella Suiza;480000000
2;3;2;133;133;6;No definida;16 a 30 años;910000;5263157,89;1;1;0;1;0;0;1;0;1;1;1;0;0;1;0;0;0;0;Apartamento;Santa Bárbara;700000000
2;3;2;95;95;6;Excelente;16 a 30 años;545000;5789473,68;1;1;0;1;0;1;0;1;1;0;0;1;0;1;0;0;0;1;Apartamento;Chicó;550000000
4;4;2;156;147;6;Excelente;16 a 30 años;857000;6794871,79;0;1;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;Casa;La Carolina;1060000000
3;2;1;58;53;3;No definida;más de 30 años;180000;4051724,14;0;0;1;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;Apartamento;Granada Norte;235000000
3;2;1;120;120;3;Bueno;16 a 30 años;195000;2750000;0;1;1;0;0;1;0;0;1;0;1;1;0;0;0;0;1;0;Casa;Nuevo Techo;330000000
4;5;6;532;1440;6;Excelente;1 a 8 años;1355000;4323308,27;0;1;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;Casa;Guaymaral;2300000000
3;3;2;92;92;4;No definida;No definida;440000;5978260,87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Cedritos;550000000
2;2;1;80;80;6;Excelente;16 a 30 años;890000;7437500;1;0;0;1;0;0;0;0;1;1;1;1;0;1;0;0;0;1;Apartamento;El Virrey;595000000
12;6;1;380;0;3;No definida;1 a 8 años;No definida;1184210,53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Casa;La andrea;450000000
3;2;1;60;60;3;Excelente;9 a 15 años;215000;4833333,33;1;1;0;0;0;1;1;0;1;0;1;1;0;1;0;0;0;0;Apartamento;Sotavento;290000000
5;3;2;200;0;3;No definida;16 a 30 años;No definida;3750000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Casa;Paris gaitan;750000000
1;2;1;56;0;4;Excelente;1 a 8 años;700000;8035714,29;1;1;0;1;0;0;1;1;0;0;1;0;0;1;0;0;0;1;Apartamento;Chapinero Alto;450000000
